client_id,modality_id,modality_name,num_samples
client_000,0,chest,422
client_001,0,chest,421
client_002,0,chest,421
client_003,0,chest,421
client_004,0,chest,421
client_005,0,chest,421
client_006,0,chest,421
client_007,0,chest,421
client_008,0,chest,421
client_009,0,chest,421
client_010,1,left_ankle,422
client_011,1,left_ankle,421
client_012,1,left_ankle,421
client_013,1,left_ankle,421
client_014,1,left_ankle,421
client_015,1,left_ankle,421
client_016,1,left_ankle,421
client_017,1,left_ankle,421
client_018,1,left_ankle,421
client_019,1,left_ankle,421
client_020,2,right_lower_arm,422
client_021,2,right_lower_arm,421
client_022,2,right_lower_arm,421
client_023,2,right_lower_arm,421
client_024,2,right_lower_arm,421
client_025,2,right_lower_arm,421
client_026,2,right_lower_arm,421
client_027,2,right_lower_arm,421
client_028,2,right_lower_arm,421
client_029,2,right_lower_arm,421
