client_id,true_modality,pred_cluster
client_000,chest,0
client_001,chest,0
client_002,chest,0
client_003,chest,0
client_004,chest,0
client_005,chest,0
client_006,chest,0
client_007,chest,0
client_008,chest,0
client_009,chest,0
client_010,left_ankle,1
client_011,left_ankle,1
client_012,left_ankle,1
client_013,left_ankle,1
client_014,left_ankle,1
client_015,left_ankle,1
client_016,left_ankle,1
client_017,left_ankle,1
client_018,left_ankle,1
client_019,left_ankle,1
client_020,right_lower_arm,2
client_021,right_lower_arm,2
client_022,right_lower_arm,2
client_023,right_lower_arm,2
client_024,right_lower_arm,2
client_025,right_lower_arm,2
client_026,right_lower_arm,2
client_027,right_lower_arm,2
client_028,right_lower_arm,2
client_029,right_lower_arm,2
