round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.505800247192383,2.495797872543335,0.2000461220741272,0.05,0.06640625,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_018"", ""1:0"": ""client_033"", ""1:1"": ""client_035"", ""1:2"": ""client_032"", ""1:3"": ""client_034"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_000"", ""2:3"": ""client_002"", ""3:0"": ""client_027"", ""3:1"": ""client_028"", ""3:2"": ""client_023"", ""3:3"": ""client_020""}"
2,2.5160036087036133,2.5053482055664062,0.2131066471338272,0.05,0.0703125,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_014"", ""1:0"": ""client_031"", ""1:1"": ""client_038"", ""1:2"": ""client_037"", ""1:3"": ""client_030"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_006"", ""3:0"": ""client_022"", ""3:1"": ""client_029"", ""3:2"": ""client_021"", ""3:3"": ""client_024""}"
3,2.4750185012817383,2.464153289794922,0.21730417013168335,0.05,0.140625,4,4,16,16,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_019"", ""0:3"": ""client_016"", ""1:0"": ""client_036"", ""1:1"": ""client_039"", ""1:2"": ""client_038"", ""1:3"": ""client_030"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_005"", ""2:3"": ""client_007"", ""3:0"": ""client_025"", ""3:1"": ""client_026"", ""3:2"": ""client_020"", ""3:3"": ""client_023""}"
4,2.4183316230773926,2.407399892807007,0.21863484382629395,0.05,0.23828125,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_014"", ""1:0"": ""client_033"", ""1:1"": ""client_032"", ""1:2"": ""client_037"", ""1:3"": ""client_035"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_002"", ""2:3"": ""client_006"", ""3:0"": ""client_029"", ""3:1"": ""client_028"", ""3:2"": ""client_022"", ""3:3"": ""client_021""}"
5,2.4099507331848145,2.398303270339966,0.2329445481300354,0.05,0.21875,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_034"", ""1:1"": ""client_031"", ""1:2"": ""client_039"", ""1:3"": ""client_036"", ""2:0"": ""client_000"", ""2:1"": ""client_001"", ""2:2"": ""client_008"", ""2:3"": ""client_003"", ""3:0"": ""client_027"", ""3:1"": ""client_024"", ""3:2"": ""client_026"", ""3:3"": ""client_025""}"
6,2.351361036300659,2.341142177581787,0.20437180995941162,0.05,0.3359375,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_018"", ""1:0"": ""client_034"", ""1:1"": ""client_039"", ""1:2"": ""client_031"", ""1:3"": ""client_037"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_000"", ""2:3"": ""client_004"", ""3:0"": ""client_029"", ""3:1"": ""client_020"", ""3:2"": ""client_021"", ""3:3"": ""client_026""}"
7,2.3402535915374756,2.3299717903137207,0.20563527941703796,0.05,0.359375,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_017"", ""0:2"": ""client_019"", ""0:3"": ""client_013"", ""1:0"": ""client_032"", ""1:1"": ""client_038"", ""1:2"": ""client_036"", ""1:3"": ""client_033"", ""2:0"": ""client_006"", ""2:1"": ""client_007"", ""2:2"": ""client_008"", ""2:3"": ""client_009"", ""3:0"": ""client_028"", ""3:1"": ""client_027"", ""3:2"": ""client_025"", ""3:3"": ""client_024""}"
8,2.2851758003234863,2.27506685256958,0.2021762877702713,0.05,0.50390625,4,4,16,16,"{""0:0"": ""client_012"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_030"", ""1:1"": ""client_035"", ""1:2"": ""client_038"", ""1:3"": ""client_032"", ""2:0"": ""client_005"", ""2:1"": ""client_003"", ""2:2"": ""client_007"", ""2:3"": ""client_009"", ""3:0"": ""client_023"", ""3:1"": ""client_022"", ""3:2"": ""client_028"", ""3:3"": ""client_024""}"
9,2.2441017627716064,2.2329154014587402,0.22372716665267944,0.05,0.47265625,4,4,16,16,"{""0:0"": ""client_019"", ""0:1"": ""client_015"", ""0:2"": ""client_016"", ""0:3"": ""client_010"", ""1:0"": ""client_037"", ""1:1"": ""client_034"", ""1:2"": ""client_033"", ""1:3"": ""client_039"", ""2:0"": ""client_000"", ""2:1"": ""client_002"", ""2:2"": ""client_006"", ""2:3"": ""client_004"", ""3:0"": ""client_021"", ""3:1"": ""client_029"", ""3:2"": ""client_026"", ""3:3"": ""client_025""}"
10,2.2355847358703613,2.2231690883636475,0.24831238389015198,0.05,0.4765625,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_018"", ""0:2"": ""client_011"", ""0:3"": ""client_012"", ""1:0"": ""client_031"", ""1:1"": ""client_036"", ""1:2"": ""client_030"", ""1:3"": ""client_035"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_003"", ""2:3"": ""client_005"", ""3:0"": ""client_020"", ""3:1"": ""client_027"", ""3:2"": ""client_023"", ""3:3"": ""client_022""}"
