client_id,true_modality,pred_cluster
client_000,accelerometer,2
client_001,accelerometer,2
client_002,accelerometer,2
client_003,accelerometer,2
client_004,accelerometer,2
client_005,accelerometer,2
client_006,accelerometer,2
client_007,accelerometer,2
client_008,accelerometer,2
client_009,accelerometer,2
client_010,gyroscope,0
client_011,gyroscope,0
client_012,gyroscope,0
client_013,gyroscope,0
client_014,gyroscope,0
client_015,gyroscope,0
client_016,gyroscope,0
client_017,gyroscope,0
client_018,gyroscope,0
client_019,gyroscope,0
client_020,magnetometer,1
client_021,magnetometer,1
client_022,magnetometer,1
client_023,magnetometer,1
client_024,magnetometer,1
client_025,magnetometer,1
client_026,magnetometer,1
client_027,magnetometer,1
client_028,magnetometer,1
client_029,magnetometer,1
