method: isodata
known_k: None
Q_star: 3
clustering_accuracy: 1.000000
NMI: 1.000000
ARI: 1.000000
client_000, true=accelerometer, pred_cluster=2
client_001, true=accelerometer, pred_cluster=2
client_002, true=accelerometer, pred_cluster=2
client_003, true=accelerometer, pred_cluster=2
client_004, true=accelerometer, pred_cluster=2
client_005, true=accelerometer, pred_cluster=2
client_006, true=accelerometer, pred_cluster=2
client_007, true=accelerometer, pred_cluster=2
client_008, true=accelerometer, pred_cluster=2
client_009, true=accelerometer, pred_cluster=2
client_010, true=gyroscope, pred_cluster=0
client_011, true=gyroscope, pred_cluster=0
client_012, true=gyroscope, pred_cluster=0
client_013, true=gyroscope, pred_cluster=0
client_014, true=gyroscope, pred_cluster=0
client_015, true=gyroscope, pred_cluster=0
client_016, true=gyroscope, pred_cluster=0
client_017, true=gyroscope, pred_cluster=0
client_018, true=gyroscope, pred_cluster=0
client_019, true=gyroscope, pred_cluster=0
client_020, true=magnetometer, pred_cluster=1
client_021, true=magnetometer, pred_cluster=1
client_022, true=magnetometer, pred_cluster=1
client_023, true=magnetometer, pred_cluster=1
client_024, true=magnetometer, pred_cluster=1
client_025, true=magnetometer, pred_cluster=1
client_026, true=magnetometer, pred_cluster=1
client_027, true=magnetometer, pred_cluster=1
client_028, true=magnetometer, pred_cluster=1
client_029, true=magnetometer, pred_cluster=1
