client_id,modality_id,modality_name,num_samples
client_000,0,accelerometer,1306
client_001,0,accelerometer,1306
client_002,0,accelerometer,1306
client_003,0,accelerometer,1306
client_004,0,accelerometer,1306
client_005,0,accelerometer,1305
client_006,0,accelerometer,1305
client_007,0,accelerometer,1305
client_008,0,accelerometer,1305
client_009,0,accelerometer,1305
client_010,1,gyroscope,1306
client_011,1,gyroscope,1306
client_012,1,gyroscope,1306
client_013,1,gyroscope,1306
client_014,1,gyroscope,1306
client_015,1,gyroscope,1305
client_016,1,gyroscope,1305
client_017,1,gyroscope,1305
client_018,1,gyroscope,1305
client_019,1,gyroscope,1305
client_020,2,magnetometer,1306
client_021,2,magnetometer,1306
client_022,2,magnetometer,1306
client_023,2,magnetometer,1306
client_024,2,magnetometer,1306
client_025,2,magnetometer,1305
client_026,2,magnetometer,1305
client_027,2,magnetometer,1305
client_028,2,magnetometer,1305
client_029,2,magnetometer,1305
