round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.538632869720459,2.4830148220062256,5.5617995262146,0.01,0.09375,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_018"", ""1:0"": ""client_023"", ""1:1"": ""client_025"", ""1:2"": ""client_022"", ""1:3"": ""client_024"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_000"", ""2:3"": ""client_002""}"
2,2.5405101776123047,2.4852631092071533,5.524694442749023,0.01,0.1015625,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_014"", ""1:0"": ""client_021"", ""1:1"": ""client_028"", ""1:2"": ""client_027"", ""1:3"": ""client_020"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_006""}"
3,2.532583236694336,2.4771926403045654,5.539064407348633,0.01,0.1015625,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_017"", ""0:3"": ""client_018"", ""1:0"": ""client_026"", ""1:1"": ""client_029"", ""1:2"": ""client_027"", ""1:3"": ""client_023"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_000"", ""2:3"": ""client_002""}"
4,2.516854763031006,2.461514711380005,5.533996105194092,0.01,0.1484375,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_012"", ""0:2"": ""client_019"", ""0:3"": ""client_014"", ""1:0"": ""client_020"", ""1:1"": ""client_022"", ""1:2"": ""client_024"", ""1:3"": ""client_028"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_009"", ""2:3"": ""client_004""}"
5,2.5287342071533203,2.4731359481811523,5.559817790985107,0.01,0.12109375,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_025"", ""1:1"": ""client_021"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_001"", ""2:1"": ""client_006"", ""2:2"": ""client_008"", ""2:3"": ""client_003""}"
6,2.513277053833008,2.4580342769622803,5.524279594421387,0.01,0.16796875,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_017"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_020"", ""1:1"": ""client_023"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_006"", ""2:1"": ""client_000"", ""2:2"": ""client_004"", ""2:3"": ""client_008""}"
7,2.509098768234253,2.4534339904785156,5.566476345062256,0.01,0.171875,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_012"", ""0:2"": ""client_016"", ""0:3"": ""client_013"", ""1:0"": ""client_028"", ""1:1"": ""client_022"", ""1:2"": ""client_021"", ""1:3"": ""client_025"", ""2:0"": ""client_005"", ""2:1"": ""client_007"", ""2:2"": ""client_009"", ""2:3"": ""client_003""}"
8,2.519132614135742,2.462820529937744,5.631218433380127,0.01,0.11328125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_027"", ""1:1"": ""client_024"", ""1:2"": ""client_022"", ""1:3"": ""client_021"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_009"", ""2:3"": ""client_000""}"
9,2.4966564178466797,2.441232442855835,5.542372703552246,0.01,0.17578125,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_012"", ""0:2"": ""client_018"", ""0:3"": ""client_016"", ""1:0"": ""client_020"", ""1:1"": ""client_026"", ""1:2"": ""client_028"", ""1:3"": ""client_029"", ""2:0"": ""client_006"", ""2:1"": ""client_008"", ""2:2"": ""client_007"", ""2:3"": ""client_005""}"
10,2.4986813068389893,2.442969799041748,5.571169853210449,0.01,0.1328125,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_015"", ""0:2"": ""client_011"", ""0:3"": ""client_010"", ""1:0"": ""client_025"", ""1:1"": ""client_023"", ""1:2"": ""client_024"", ""1:3"": ""client_027"", ""2:0"": ""client_004"", ""2:1"": ""client_003"", ""2:2"": ""client_001"", ""2:3"": ""client_002""}"
11,2.4608802795410156,2.4052090644836426,5.567130088806152,0.01,0.234375,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_014"", ""0:2"": ""client_019"", ""0:3"": ""client_011"", ""1:0"": ""client_028"", ""1:1"": ""client_020"", ""1:2"": ""client_025"", ""1:3"": ""client_022"", ""2:0"": ""client_003"", ""2:1"": ""client_007"", ""2:2"": ""client_009"", ""2:3"": ""client_000""}"
12,2.46509051322937,2.4097559452056885,5.533468246459961,0.01,0.203125,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_010"", ""0:3"": ""client_017"", ""1:0"": ""client_027"", ""1:1"": ""client_024"", ""1:2"": ""client_023"", ""1:3"": ""client_029"", ""2:0"": ""client_002"", ""2:1"": ""client_005"", ""2:2"": ""client_006"", ""2:3"": ""client_004""}"
13,2.4645960330963135,2.4088034629821777,5.579274654388428,0.01,0.1953125,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_012"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_027"", ""1:3"": ""client_029"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_004"", ""2:3"": ""client_005""}"
14,2.4584178924560547,2.402829170227051,5.558865547180176,0.01,0.20703125,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_019"", ""0:2"": ""client_016"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_020"", ""1:2"": ""client_022"", ""1:3"": ""client_023"", ""2:0"": ""client_003"", ""2:1"": ""client_009"", ""2:2"": ""client_006"", ""2:3"": ""client_002""}"
15,2.4508321285247803,2.39526104927063,5.5570878982543945,0.01,0.1953125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_017"", ""0:2"": ""client_018"", ""0:3"": ""client_012"", ""1:0"": ""client_028"", ""1:1"": ""client_024"", ""1:2"": ""client_026"", ""1:3"": ""client_021"", ""2:0"": ""client_000"", ""2:1"": ""client_007"", ""2:2"": ""client_008"", ""2:3"": ""client_001""}"
16,2.412750720977783,2.356560468673706,5.619016647338867,0.01,0.24609375,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_020"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_001"", ""2:1"": ""client_002"", ""2:2"": ""client_007"", ""2:3"": ""client_000""}"
17,2.4049620628356934,2.3491992950439453,5.5762763023376465,0.01,0.2265625,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_014"", ""0:2"": ""client_016"", ""0:3"": ""client_019"", ""1:0"": ""client_023"", ""1:1"": ""client_026"", ""1:2"": ""client_027"", ""1:3"": ""client_024"", ""2:0"": ""client_008"", ""2:1"": ""client_009"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
18,2.3878729343414307,2.33249831199646,5.537479400634766,0.01,0.2421875,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_012"", ""1:0"": ""client_022"", ""1:1"": ""client_028"", ""1:2"": ""client_024"", ""1:3"": ""client_025"", ""2:0"": ""client_006"", ""2:1"": ""client_004"", ""2:2"": ""client_007"", ""2:3"": ""client_001""}"
19,2.3738086223602295,2.318176507949829,5.563207149505615,0.01,0.25390625,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_019"", ""0:2"": ""client_016"", ""0:3"": ""client_014"", ""1:0"": ""client_027"", ""1:1"": ""client_026"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_000"", ""2:1"": ""client_009"", ""2:2"": ""client_005"", ""2:3"": ""client_002""}"
20,2.3519346714019775,2.296255588531494,5.567916393280029,0.01,0.3203125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_015"", ""0:2"": ""client_017"", ""0:3"": ""client_011"", ""1:0"": ""client_023"", ""1:1"": ""client_020"", ""1:2"": ""client_028"", ""1:3"": ""client_022"", ""2:0"": ""client_008"", ""2:1"": ""client_003"", ""2:2"": ""client_006"", ""2:3"": ""client_004""}"
21,2.3473715782165527,2.2916674613952637,5.570385932922363,0.01,0.2421875,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_014"", ""0:2"": ""client_017"", ""0:3"": ""client_012"", ""1:0"": ""client_029"", ""1:1"": ""client_024"", ""1:2"": ""client_025"", ""1:3"": ""client_026"", ""2:0"": ""client_005"", ""2:1"": ""client_000"", ""2:2"": ""client_004"", ""2:3"": ""client_002""}"
22,2.3109726905822754,2.2550647258758545,5.590803146362305,0.01,0.24609375,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_022"", ""1:1"": ""client_023"", ""1:2"": ""client_028"", ""1:3"": ""client_021"", ""2:0"": ""client_006"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_007""}"
23,2.312502861022949,2.2565431594848633,5.595959186553955,0.01,0.265625,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_016"", ""0:2"": ""client_018"", ""0:3"": ""client_012"", ""1:0"": ""client_020"", ""1:1"": ""client_027"", ""1:2"": ""client_029"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_003"", ""2:2"": ""client_009"", ""2:3"": ""client_001""}"
24,2.307753562927246,2.252110719680786,5.564294338226318,0.01,0.203125,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_019"", ""1:0"": ""client_024"", ""1:1"": ""client_028"", ""1:2"": ""client_021"", ""1:3"": ""client_023"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_002"", ""2:3"": ""client_004""}"
25,2.2548556327819824,2.1988022327423096,5.605326175689697,0.01,0.28125,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_016"", ""1:0"": ""client_026"", ""1:1"": ""client_022"", ""1:2"": ""client_020"", ""1:3"": ""client_027"", ""2:0"": ""client_006"", ""2:1"": ""client_000"", ""2:2"": ""client_003"", ""2:3"": ""client_008""}"
26,2.174046039581299,2.1187691688537598,5.527665615081787,0.01,0.28515625,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_023"", ""1:2"": ""client_022"", ""1:3"": ""client_028"", ""2:0"": ""client_006"", ""2:1"": ""client_004"", ""2:2"": ""client_009"", ""2:3"": ""client_000""}"
27,2.1569125652313232,2.101233720779419,5.567859649658203,0.01,0.28125,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_010"", ""0:2"": ""client_011"", ""0:3"": ""client_014"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_024"", ""1:3"": ""client_027"", ""2:0"": ""client_003"", ""2:1"": ""client_007"", ""2:2"": ""client_005"", ""2:3"": ""client_008""}"
28,2.1017746925354004,2.0463831424713135,5.539152145385742,0.01,0.3046875,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_012"", ""0:2"": ""client_016"", ""0:3"": ""client_018"", ""1:0"": ""client_029"", ""1:1"": ""client_020"", ""1:2"": ""client_027"", ""1:3"": ""client_026"", ""2:0"": ""client_001"", ""2:1"": ""client_002"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
29,2.111560821533203,2.055776596069336,5.578429698944092,0.01,0.2890625,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_014"", ""0:2"": ""client_015"", ""0:3"": ""client_011"", ""1:0"": ""client_022"", ""1:1"": ""client_021"", ""1:2"": ""client_028"", ""1:3"": ""client_024"", ""2:0"": ""client_006"", ""2:1"": ""client_008"", ""2:2"": ""client_004"", ""2:3"": ""client_009""}"
30,2.069931983947754,2.0139312744140625,5.600076675415039,0.01,0.2734375,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_019"", ""0:2"": ""client_012"", ""0:3"": ""client_013"", ""1:0"": ""client_023"", ""1:1"": ""client_025"", ""1:2"": ""client_020"", ""1:3"": ""client_029"", ""2:0"": ""client_007"", ""2:1"": ""client_000"", ""2:2"": ""client_002"", ""2:3"": ""client_001""}"
31,2.093749523162842,2.03822922706604,5.552043437957764,0.01,0.265625,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_016"", ""1:0"": ""client_026"", ""1:1"": ""client_023"", ""1:2"": ""client_025"", ""1:3"": ""client_029"", ""2:0"": ""client_000"", ""2:1"": ""client_008"", ""2:2"": ""client_007"", ""2:3"": ""client_006""}"
32,1.9695096015930176,1.9136241674423218,5.5885419845581055,0.01,0.375,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_019"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_020"", ""1:1"": ""client_022"", ""1:2"": ""client_027"", ""1:3"": ""client_021"", ""2:0"": ""client_001"", ""2:1"": ""client_002"", ""2:2"": ""client_005"", ""2:3"": ""client_003""}"
33,1.9491190910339355,1.8929939270019531,5.6125168800354,0.01,0.34375,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_011"", ""0:2"": ""client_019"", ""0:3"": ""client_017"", ""1:0"": ""client_024"", ""1:1"": ""client_028"", ""1:2"": ""client_021"", ""1:3"": ""client_020"", ""2:0"": ""client_009"", ""2:1"": ""client_004"", ""2:2"": ""client_006"", ""2:3"": ""client_005""}"
34,1.9596270322799683,1.9038068056106567,5.582013130187988,0.01,0.31640625,3,4,12,12,"{""0:0"": ""client_016"", ""0:1"": ""client_018"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_027"", ""1:1"": ""client_026"", ""1:2"": ""client_023"", ""1:3"": ""client_025"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_007"", ""2:3"": ""client_000""}"
35,1.9377756118774414,1.8821096420288086,5.566608428955078,0.01,0.36328125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_014"", ""0:2"": ""client_013"", ""0:3"": ""client_011"", ""1:0"": ""client_029"", ""1:1"": ""client_022"", ""1:2"": ""client_028"", ""1:3"": ""client_024"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_004"", ""2:3"": ""client_009""}"
36,1.8562254905700684,1.7998814582824707,5.634392738342285,0.01,0.39453125,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_017"", ""0:2"": ""client_018"", ""0:3"": ""client_011"", ""1:0"": ""client_023"", ""1:1"": ""client_022"", ""1:2"": ""client_020"", ""1:3"": ""client_027"", ""2:0"": ""client_009"", ""2:1"": ""client_008"", ""2:2"": ""client_004"", ""2:3"": ""client_001""}"
37,1.9027009010314941,1.8468281030654907,5.587274551391602,0.01,0.39453125,3,4,12,12,"{""0:0"": ""client_012"", ""0:1"": ""client_019"", ""0:2"": ""client_016"", ""0:3"": ""client_015"", ""1:0"": ""client_029"", ""1:1"": ""client_028"", ""1:2"": ""client_024"", ""1:3"": ""client_026"", ""2:0"": ""client_003"", ""2:1"": ""client_007"", ""2:2"": ""client_005"", ""2:3"": ""client_002""}"
38,1.779813289642334,1.723863959312439,5.5949387550354,0.01,0.45703125,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_010"", ""0:2"": ""client_017"", ""0:3"": ""client_012"", ""1:0"": ""client_025"", ""1:1"": ""client_021"", ""1:2"": ""client_026"", ""1:3"": ""client_022"", ""2:0"": ""client_000"", ""2:1"": ""client_006"", ""2:2"": ""client_009"", ""2:3"": ""client_002""}"
