round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,1.7996726036071777,1.7943333387374878,0.10678603500127792,0.05,0.15625,2,4,8,8,"{""0:0"": ""client_001"", ""0:1"": ""client_000"", ""0:2"": ""client_004"", ""0:3"": ""client_009"", ""1:0"": ""client_013"", ""1:1"": ""client_012"", ""1:2"": ""client_011"", ""1:3"": ""client_015""}"
2,1.759128451347351,1.753458023071289,0.11340885609388351,0.05,0.3046875,2,4,8,8,"{""0:0"": ""client_008"", ""0:1"": ""client_001"", ""0:2"": ""client_006"", ""0:3"": ""client_000"", ""1:0"": ""client_010"", ""1:1"": ""client_011"", ""1:2"": ""client_013"", ""1:3"": ""client_018""}"
3,1.7573273181915283,1.7514185905456543,0.11817438155412674,0.05,0.234375,2,4,8,8,"{""0:0"": ""client_008"", ""0:1"": ""client_000"", ""0:2"": ""client_003"", ""0:3"": ""client_005"", ""1:0"": ""client_018"", ""1:1"": ""client_016"", ""1:2"": ""client_013"", ""1:3"": ""client_017""}"
4,1.7192020416259766,1.7139365673065186,0.10530795156955719,0.05,0.33203125,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_004"", ""0:2"": ""client_000"", ""0:3"": ""client_006"", ""1:0"": ""client_012"", ""1:1"": ""client_016"", ""1:2"": ""client_015"", ""1:3"": ""client_019""}"
5,1.688897967338562,1.682356834411621,0.13082443177700043,0.05,0.37109375,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_003"", ""0:2"": ""client_005"", ""0:3"": ""client_000"", ""1:0"": ""client_011"", ""1:1"": ""client_016"", ""1:2"": ""client_019"", ""1:3"": ""client_012""}"
6,1.6176207065582275,1.6104512214660645,0.14339077472686768,0.05,0.58984375,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_004"", ""0:2"": ""client_000"", ""0:3"": ""client_009"", ""1:0"": ""client_017"", ""1:1"": ""client_018"", ""1:2"": ""client_011"", ""1:3"": ""client_013""}"
7,1.6152212619781494,1.6084084510803223,0.1362570971250534,0.05,0.56640625,2,4,8,8,"{""0:0"": ""client_001"", ""0:1"": ""client_008"", ""0:2"": ""client_004"", ""0:3"": ""client_006"", ""1:0"": ""client_019"", ""1:1"": ""client_015"", ""1:2"": ""client_013"", ""1:3"": ""client_018""}"
8,1.5604207515716553,1.5519261360168457,0.16989153623580933,0.05,0.59765625,2,4,8,8,"{""0:0"": ""client_001"", ""0:1"": ""client_000"", ""0:2"": ""client_003"", ""0:3"": ""client_006"", ""1:0"": ""client_014"", ""1:1"": ""client_011"", ""1:2"": ""client_013"", ""1:3"": ""client_016""}"
9,1.5198402404785156,1.5121214389801025,0.1543779969215393,0.05,0.61328125,2,4,8,8,"{""0:0"": ""client_001"", ""0:1"": ""client_006"", ""0:2"": ""client_004"", ""0:3"": ""client_003"", ""1:0"": ""client_015"", ""1:1"": ""client_012"", ""1:2"": ""client_019"", ""1:3"": ""client_018""}"
10,1.4359184503555298,1.4260876178741455,0.19661903381347656,0.05,0.5703125,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_004"", ""0:2"": ""client_001"", ""0:3"": ""client_008"", ""1:0"": ""client_012"", ""1:1"": ""client_018"", ""1:2"": ""client_013"", ""1:3"": ""client_011""}"
