method: isodata
known_k: None
Q_star: 2
clustering_accuracy: 1.000000
NMI: 1.000000
ARI: 1.000000
client_000, true=acc, pred_cluster=0
client_001, true=acc, pred_cluster=0
client_002, true=acc, pred_cluster=0
client_003, true=acc, pred_cluster=0
client_004, true=acc, pred_cluster=0
client_005, true=acc, pred_cluster=0
client_006, true=acc, pred_cluster=0
client_007, true=acc, pred_cluster=0
client_008, true=acc, pred_cluster=0
client_009, true=acc, pred_cluster=0
client_010, true=gyro, pred_cluster=1
client_011, true=gyro, pred_cluster=1
client_012, true=gyro, pred_cluster=1
client_013, true=gyro, pred_cluster=1
client_014, true=gyro, pred_cluster=1
client_015, true=gyro, pred_cluster=1
client_016, true=gyro, pred_cluster=1
client_017, true=gyro, pred_cluster=1
client_018, true=gyro, pred_cluster=1
client_019, true=gyro, pred_cluster=1
