global_round,round,loss,train_total_loss,mean_loss,classification_loss,train_classification_loss,contrastive_loss,train_contrastive_loss,heterogeneous_loss,train_heterogeneous_loss,weighted_classification_loss,weighted_contrastive_loss,weighted_heterogeneous_loss,accuracy,train_accuracy,macro_f1,train_macro_f1,weighted_f1,K_t,pseudo_batch_size,pseudo_yield,total_pseudo_samples,mean_pseudo_batch_size,common_labels_json,local_step_common_labels_json,binding_success,empty_binding_round,empty_binding,empty_binding_rounds,binding_success_rate,configured_local_steps,attempted_local_steps,effective_local_steps,empty_binding_local_steps,round_binding_success_rate,coverage,cluster_slot_coverage,participation_fairness,latency,server_update_l1,client_update_l1,fusion_training_objective,binding_confidence_mean,selected_client_ids,selected_cluster_ids,expected_cluster_ids,clients_per_cluster_per_round,per_cluster_selected_json,round_status
1,1,4.163939952850342,4.163939952850342,4.163939952850342,2.483309507369995,2.483309507369995,4.365788459777832,4.365788459777832,2.4881036281585693,2.4881036281585693,2.483309507369995,0.4365788400173187,1.2440518140792847,0.09375,0.09375,0.032407407407407406,0.032407407407407406,0.03906249999999999,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.2,0.9177733920514584,1.0668746829032898,415.6422973241133,mmbind_weighted_contrastive,1.0,"[""client_006"", ""client_015"", ""client_031"", ""client_023"", ""client_028"", ""client_016"", ""client_009"", ""client_030""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
2,2,4.1687517166137695,4.1687517166137695,4.1687517166137695,2.484858274459839,2.484858274459839,4.424264907836914,4.424264907836914,2.48293399810791,2.48293399810791,2.484858274459839,0.44242650270462036,1.241466999053955,0.0625,0.0625,0.02665544332210999,0.02665544332210999,0.02909301346801347,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.4,0.7934577479027212,0.8693607747554779,415.26338363983086,mmbind_weighted_contrastive,1.0,"[""client_021"", ""client_011"", ""client_014"", ""client_000"", ""client_026"", ""client_034"", ""client_007"", ""client_039""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
3,3,4.187036514282227,4.187036514282227,4.187036514282227,2.488590955734253,2.488590955734253,4.526061534881592,4.526061534881592,2.4916787147521973,2.4916787147521973,2.488590955734253,0.4526061713695526,1.2458393573760986,0.03125,0.03125,0.014109347442680775,0.014109347442680775,0.011408730158730158,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.6,0.8009082712233067,0.6698929071426392,412.1790684099542,mmbind_weighted_contrastive,1.0,"[""client_008"", ""client_029"", ""client_012"", ""client_035"", ""client_019"", ""client_036"", ""client_024"", ""client_001""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
4,4,4.159458637237549,4.159458637237549,4.159458637237549,2.4794864654541016,2.4794864654541016,4.389171600341797,4.389171600341797,2.4821102619171143,2.4821102619171143,2.4794864654541016,0.4389171600341797,1.2410551309585571,0.078125,0.078125,0.027526395173454,0.027526395173454,0.04369343891402715,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.8,0.8309928709641099,0.5684212148189545,411.57684443105245,mmbind_weighted_contrastive,1.0,"[""client_020"", ""client_022"", ""client_032"", ""client_004"", ""client_013"", ""client_038"", ""client_010"", ""client_002""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
5,5,4.18040657043457,4.18040657043457,4.18040657043457,2.490875244140625,2.490875244140625,4.463818073272705,4.463818073272705,2.4862990379333496,2.4862990379333496,2.490875244140625,0.4463818073272705,1.2431495189666748,0.046875,0.046875,0.017239847151870612,0.017239847151870612,0.014937683284457479,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.8157469122670591,0.5730727314949036,414.2017014430603,mmbind_weighted_contrastive,1.0,"[""client_025"", ""client_033"", ""client_003"", ""client_027"", ""client_037"", ""client_018"", ""client_017"", ""client_005""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
6,6,4.1631574630737305,4.1631574630737305,4.1631574630737305,2.4810028076171875,2.4810028076171875,4.3915510177612305,4.3915510177612305,2.485999584197998,2.485999584197998,2.4810028076171875,0.43915510177612305,1.242999792098999,0.109375,0.109375,0.044708994708994705,0.044708994708994705,0.05153769841269841,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9,0.7783787050284445,0.5599401891231537,413.73314751370344,mmbind_weighted_contrastive,1.0,"[""client_032"", ""client_013"", ""client_025"", ""client_012"", ""client_039"", ""client_000"", ""client_023"", ""client_005""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
7,7,4.154526710510254,4.154526710510254,4.154526710510254,2.470343828201294,2.470343828201294,4.4337897300720215,4.4337897300720215,2.481607437133789,2.481607437133789,2.470343828201294,0.4433789849281311,1.2408037185668945,0.140625,0.140625,0.058913308913308905,0.058913308913308905,0.05946657509157509,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.8909090909090909,0.8063216712325811,0.45629504323005676,415.4032920556492,mmbind_weighted_contrastive,1.0,"[""client_029"", ""client_015"", ""client_031"", ""client_033"", ""client_006"", ""client_028"", ""client_014"", ""client_003""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
8,8,4.146456241607666,4.146456241607666,4.146456241607666,2.469766855239868,2.469766855239868,4.366556167602539,4.366556167602539,2.480067729949951,2.480067729949951,2.469766855239868,0.43665561079978943,1.2400338649749756,0.140625,0.140625,0.07746721877156659,0.07746721877156659,0.08938815562456866,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9142857142857143,0.7359804138541222,0.3900657892227173,409.49493505846476,mmbind_weighted_contrastive,1.0,"[""client_035"", ""client_002"", ""client_026"", ""client_037"", ""client_017"", ""client_008"", ""client_027"", ""client_018""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
9,9,4.153162479400635,4.153162479400635,4.153162479400635,2.475849151611328,2.475849151611328,4.358633041381836,4.358633041381836,2.4829001426696777,2.4829001426696777,2.475849151611328,0.43586331605911255,1.2414500713348389,0.140625,0.140625,0.050505050505050504,0.050505050505050504,0.07673611111111112,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9529411764705882,0.6811558208428323,0.3477528989315033,409.6957436997909,mmbind_weighted_contrastive,1.0,"[""client_001"", ""client_011"", ""client_034"", ""client_038"", ""client_007"", ""client_020"", ""client_016"", ""client_024""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
10,10,4.163418769836426,4.163418769836426,4.163418769836426,2.479832410812378,2.479832410812378,4.412765979766846,4.412765979766846,2.484619617462158,2.484619617462158,2.479832410812378,0.4412766098976135,1.242309808731079,0.09375,0.09375,0.01818181818181818,0.01818181818181818,0.020454545454545454,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.6709754769690335,0.30548718571662903,412.6154729766422,mmbind_weighted_contrastive,1.0,"[""client_010"", ""client_022"", ""client_021"", ""client_036"", ""client_019"", ""client_030"", ""client_004"", ""client_009""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
