global_round,round,loss,train_total_loss,mean_loss,classification_loss,train_classification_loss,contrastive_loss,train_contrastive_loss,heterogeneous_loss,train_heterogeneous_loss,weighted_classification_loss,weighted_contrastive_loss,weighted_heterogeneous_loss,accuracy,train_accuracy,macro_f1,train_macro_f1,weighted_f1,K_t,pseudo_batch_size,pseudo_yield,total_pseudo_samples,mean_pseudo_batch_size,common_labels_json,local_step_common_labels_json,binding_success,empty_binding_round,empty_binding,empty_binding_rounds,binding_success_rate,configured_local_steps,attempted_local_steps,effective_local_steps,empty_binding_local_steps,round_binding_success_rate,coverage,cluster_slot_coverage,participation_fairness,latency,server_update_l1,client_update_l1,fusion_training_objective,binding_confidence_mean,selected_client_ids,selected_cluster_ids,expected_cluster_ids,clients_per_cluster_per_round,per_cluster_selected_json,round_status
1,1,4.192395210266113,4.192395210266113,4.192395210266113,2.5044870376586914,2.5044870376586914,4.404325485229492,4.404325485229492,2.4949517250061035,2.4949517250061035,2.5044870376586914,0.4404325485229492,1.2474758625030518,0.046875,0.046875,0.022303921568627455,0.022303921568627455,0.02251838235294118,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.2,0.8683771318756044,1.3648837506771088,414.92612532840576,mmbind_weighted_contrastive,1.0,"[""client_006"", ""client_015"", ""client_031"", ""client_023"", ""client_028"", ""client_016"", ""client_009"", ""client_030""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
2,2,4.149415493011475,4.149415493011475,4.149415493011475,2.4723222255706787,2.4723222255706787,4.388106346130371,4.388106346130371,2.476565361022949,2.476565361022949,2.4723222255706787,0.43881064653396606,1.2382826805114746,0.125,0.125,0.04985754985754986,0.04985754985754986,0.06543803418803418,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.4,0.16470485366880894,0.9562349915504456,418.01508398304577,mmbind_weighted_contrastive,1.0,"[""client_021"", ""client_011"", ""client_014"", ""client_000"", ""client_026"", ""client_034"", ""client_007"", ""client_039""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
3,3,4.167148113250732,4.167148113250732,4.167148113250732,2.480745315551758,2.480745315551758,4.450422286987305,4.450422286987305,2.4827215671539307,2.4827215671539307,2.480745315551758,0.445042222738266,1.2413607835769653,0.03125,0.03125,0.011111111111111112,0.011111111111111112,0.010416666666666666,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.6,0.17168913269415498,0.7724700570106506,415.0880014512222,mmbind_weighted_contrastive,1.0,"[""client_008"", ""client_029"", ""client_012"", ""client_035"", ""client_019"", ""client_036"", ""client_024"", ""client_001""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
4,4,4.169605255126953,4.169605255126953,4.169605255126953,2.4877853393554688,2.4877853393554688,4.378586292266846,4.378586292266846,2.4879231452941895,2.4879231452941895,2.4877853393554688,0.4378586411476135,1.2439615726470947,0.046875,0.046875,0.02669082125603865,0.02669082125603865,0.033038949275362314,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.8,0.17117238463833928,0.7106014788150787,405.2431230386137,mmbind_weighted_contrastive,1.0,"[""client_020"", ""client_022"", ""client_032"", ""client_004"", ""client_013"", ""client_038"", ""client_010"", ""client_002""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
5,5,4.173357009887695,4.173357009887695,4.173357009887695,2.48903226852417,2.48903226852417,4.429921627044678,4.429921627044678,2.4826650619506836,2.4826650619506836,2.48903226852417,0.4429921805858612,1.2413325309753418,0.0625,0.0625,0.023809523809523808,0.023809523809523808,0.04464285714285714,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.16688488982617855,0.6494230926036835,420.76951782472315,mmbind_weighted_contrastive,1.0,"[""client_025"", ""client_033"", ""client_003"", ""client_027"", ""client_037"", ""client_018"", ""client_017"", ""client_005""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
6,6,4.185571193695068,4.185571193695068,4.185571193695068,2.4965758323669434,2.4965758323669434,4.412814140319824,4.412814140319824,2.4954280853271484,2.4954280853271484,2.4965758323669434,0.44128140807151794,1.2477140426635742,0.0625,0.0625,0.036770166156131066,0.036770166156131066,0.027379647034252295,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9,0.1558809531852603,0.627928614616394,402.926778682915,mmbind_weighted_contrastive,1.0,"[""client_032"", ""client_013"", ""client_025"", ""client_012"", ""client_039"", ""client_000"", ""client_023"", ""client_005""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
7,7,4.165924072265625,4.165924072265625,4.165924072265625,2.4814836978912354,2.4814836978912354,4.420557022094727,4.420557022094727,2.484769344329834,2.484769344329834,2.4814836978912354,0.44205570220947266,1.242384672164917,0.078125,0.078125,0.03992303992303992,0.03992303992303992,0.03654100529100529,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.8909090909090909,0.15146097308024764,0.5535847842693329,413.78110557206674,mmbind_weighted_contrastive,1.0,"[""client_029"", ""client_015"", ""client_031"", ""client_033"", ""client_006"", ""client_028"", ""client_014"", ""client_003""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
8,8,4.151324272155762,4.151324272155762,4.151324272155762,2.4727256298065186,2.4727256298065186,4.400303840637207,4.400303840637207,2.4771370887756348,2.4771370887756348,2.4727256298065186,0.44003039598464966,1.2385685443878174,0.109375,0.109375,0.06585858585858585,0.06585858585858585,0.051388888888888894,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9142857142857143,0.1588941216468811,0.5245302021503448,408.800515710318,mmbind_weighted_contrastive,1.0,"[""client_035"", ""client_002"", ""client_026"", ""client_037"", ""client_017"", ""client_008"", ""client_027"", ""client_018""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
9,9,4.139308929443359,4.139308929443359,4.139308929443359,2.465644598007202,2.465644598007202,4.322109699249268,4.322109699249268,2.4829068183898926,2.4829068183898926,2.465644598007202,0.4322109818458557,1.2414534091949463,0.109375,0.109375,0.09183006535947713,0.09183006535947713,0.08970588235294116,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9529411764705882,0.15109067363664508,0.4381524324417114,414.9762167081062,mmbind_weighted_contrastive,1.0,"[""client_001"", ""client_011"", ""client_034"", ""client_038"", ""client_007"", ""client_020"", ""client_016"", ""client_024""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
10,10,4.157189846038818,4.157189846038818,4.157189846038818,2.4738759994506836,2.4738759994506836,4.411275863647461,4.411275863647461,2.48437237739563,2.48437237739563,2.4738759994506836,0.44112759828567505,1.242186188697815,0.09375,0.09375,0.039384920634920634,0.039384920634920634,0.041666666666666664,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.15437591494992375,0.3485674262046814,413.335481925722,mmbind_weighted_contrastive,1.0,"[""client_010"", ""client_022"", ""client_021"", ""client_036"", ""client_019"", ""client_030"", ""client_004"", ""client_009""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
