round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.4912772178649902,2.491243362426758,0.0006769197061657906,0.05,0.0888671875,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_018"", ""1:0"": ""client_033"", ""1:1"": ""client_035"", ""1:2"": ""client_032"", ""1:3"": ""client_034"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_000"", ""2:3"": ""client_002"", ""3:0"": ""client_027"", ""3:1"": ""client_028"", ""3:2"": ""client_023"", ""3:3"": ""client_020""}"
2,2.4885671138763428,2.4885334968566895,0.0006733543705195189,0.05,0.0830078125,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_014"", ""1:0"": ""client_031"", ""1:1"": ""client_038"", ""1:2"": ""client_037"", ""1:3"": ""client_030"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_006"", ""3:0"": ""client_022"", ""3:1"": ""client_029"", ""3:2"": ""client_021"", ""3:3"": ""client_024""}"
3,2.481472969055176,2.4814348220825195,0.000762079085689038,0.05,0.091796875,4,4,16,16,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_019"", ""0:3"": ""client_016"", ""1:0"": ""client_036"", ""1:1"": ""client_039"", ""1:2"": ""client_038"", ""1:3"": ""client_030"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_005"", ""2:3"": ""client_007"", ""3:0"": ""client_025"", ""3:1"": ""client_026"", ""3:2"": ""client_020"", ""3:3"": ""client_023""}"
4,2.4741201400756836,2.4740710258483887,0.0009845419554039836,0.05,0.0869140625,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_014"", ""1:0"": ""client_033"", ""1:1"": ""client_032"", ""1:2"": ""client_037"", ""1:3"": ""client_035"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_002"", ""2:3"": ""client_006"", ""3:0"": ""client_029"", ""3:1"": ""client_028"", ""3:2"": ""client_022"", ""3:3"": ""client_021""}"
5,2.4657487869262695,2.465696334838867,0.0010482101934030652,0.05,0.1298828125,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_034"", ""1:1"": ""client_031"", ""1:2"": ""client_039"", ""1:3"": ""client_036"", ""2:0"": ""client_000"", ""2:1"": ""client_001"", ""2:2"": ""client_008"", ""2:3"": ""client_003"", ""3:0"": ""client_027"", ""3:1"": ""client_024"", ""3:2"": ""client_026"", ""3:3"": ""client_025""}"
6,2.4503300189971924,2.4502530097961426,0.001540203345939517,0.05,0.2451171875,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_018"", ""1:0"": ""client_034"", ""1:1"": ""client_039"", ""1:2"": ""client_031"", ""1:3"": ""client_037"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_000"", ""2:3"": ""client_004"", ""3:0"": ""client_029"", ""3:1"": ""client_020"", ""3:2"": ""client_021"", ""3:3"": ""client_026""}"
7,2.449815511703491,2.4497082233428955,0.002147381892427802,0.05,0.1845703125,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_017"", ""0:2"": ""client_019"", ""0:3"": ""client_013"", ""1:0"": ""client_032"", ""1:1"": ""client_038"", ""1:2"": ""client_036"", ""1:3"": ""client_033"", ""2:0"": ""client_006"", ""2:1"": ""client_007"", ""2:2"": ""client_008"", ""2:3"": ""client_009"", ""3:0"": ""client_028"", ""3:1"": ""client_027"", ""3:2"": ""client_025"", ""3:3"": ""client_024""}"
8,2.436281204223633,2.4361143112182617,0.003336061956360936,0.05,0.1416015625,4,4,16,16,"{""0:0"": ""client_012"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_030"", ""1:1"": ""client_035"", ""1:2"": ""client_038"", ""1:3"": ""client_032"", ""2:0"": ""client_005"", ""2:1"": ""client_003"", ""2:2"": ""client_007"", ""2:3"": ""client_009"", ""3:0"": ""client_023"", ""3:1"": ""client_022"", ""3:2"": ""client_028"", ""3:3"": ""client_024""}"
9,2.4234790802001953,2.4232778549194336,0.004022383596748114,0.05,0.123046875,4,4,16,16,"{""0:0"": ""client_019"", ""0:1"": ""client_015"", ""0:2"": ""client_016"", ""0:3"": ""client_010"", ""1:0"": ""client_037"", ""1:1"": ""client_034"", ""1:2"": ""client_033"", ""1:3"": ""client_039"", ""2:0"": ""client_000"", ""2:1"": ""client_002"", ""2:2"": ""client_006"", ""2:3"": ""client_004"", ""3:0"": ""client_021"", ""3:1"": ""client_029"", ""3:2"": ""client_026"", ""3:3"": ""client_025""}"
10,2.410078287124634,2.409789562225342,0.005775917787104845,0.05,0.12109375,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_018"", ""0:2"": ""client_011"", ""0:3"": ""client_012"", ""1:0"": ""client_031"", ""1:1"": ""client_036"", ""1:2"": ""client_030"", ""1:3"": ""client_035"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_003"", ""2:3"": ""client_005"", ""3:0"": ""client_020"", ""3:1"": ""client_027"", ""3:2"": ""client_023"", ""3:3"": ""client_022""}"
