round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,1.7857621908187866,1.7857576608657837,0.00045201857574284077,0.01,0.185546875,2,4,8,8,"{""0:0"": ""client_007"", ""0:1"": ""client_003"", ""0:2"": ""client_002"", ""0:3"": ""client_008"", ""1:0"": ""client_013"", ""1:1"": ""client_015"", ""1:2"": ""client_012"", ""1:3"": ""client_014""}"
2,1.7829829454421997,1.7829782962799072,0.00047080006333999336,0.01,0.181640625,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_006"", ""0:2"": ""client_009"", ""0:3"": ""client_004"", ""1:0"": ""client_011"", ""1:1"": ""client_018"", ""1:2"": ""client_017"", ""1:3"": ""client_010""}"
3,1.7813210487365723,1.781315803527832,0.0005191721138544381,0.01,0.244140625,2,4,8,8,"{""0:0"": ""client_000"", ""0:1"": ""client_001"", ""0:2"": ""client_007"", ""0:3"": ""client_005"", ""1:0"": ""client_016"", ""1:1"": ""client_019"", ""1:2"": ""client_017"", ""1:3"": ""client_018""}"
4,1.7713781595230103,1.7713720798492432,0.0006066919886507094,0.01,0.28125,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_004"", ""0:2"": ""client_009"", ""0:3"": ""client_006"", ""1:0"": ""client_013"", ""1:1"": ""client_010"", ""1:2"": ""client_012"", ""1:3"": ""client_011""}"
5,1.7675191164016724,1.7675098180770874,0.0009328452870249748,0.01,0.25390625,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_008"", ""0:2"": ""client_000"", ""0:3"": ""client_001"", ""1:0"": ""client_014"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_016""}"
6,1.7415904998779297,1.7415767908096313,0.0013697700342163444,0.01,0.291015625,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_006"", ""0:2"": ""client_007"", ""0:3"": ""client_003"", ""1:0"": ""client_018"", ""1:1"": ""client_010"", ""1:2"": ""client_013"", ""1:3"": ""client_012""}"
7,1.726939082145691,1.726916790008545,0.0022300437558442354,0.01,0.3046875,2,4,8,8,"{""0:0"": ""client_000"", ""0:1"": ""client_002"", ""0:2"": ""client_004"", ""0:3"": ""client_008"", ""1:0"": ""client_017"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_014""}"
8,1.706371784210205,1.706337332725525,0.003446991555392742,0.01,0.337890625,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_001"", ""0:2"": ""client_007"", ""0:3"": ""client_004"", ""1:0"": ""client_011"", ""1:1"": ""client_016"", ""1:2"": ""client_010"", ""1:3"": ""client_013""}"
9,1.6752842664718628,1.675218939781189,0.006535784807056189,0.01,0.353515625,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_008"", ""0:2"": ""client_002"", ""0:3"": ""client_006"", ""1:0"": ""client_019"", ""1:1"": ""client_018"", ""1:2"": ""client_012"", ""1:3"": ""client_015""}"
10,1.6274628639221191,1.6273820400238037,0.008079883642494678,0.01,0.373046875,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_000"", ""0:2"": ""client_005"", ""0:3"": ""client_001"", ""1:0"": ""client_017"", ""1:1"": ""client_014"", ""1:2"": ""client_016"", ""1:3"": ""client_011""}"
11,1.553922414779663,1.5537335872650146,0.018880749121308327,0.01,0.345703125,2,4,8,8,"{""0:0"": ""client_006"", ""0:1"": ""client_000"", ""0:2"": ""client_004"", ""0:3"": ""client_008"", ""1:0"": ""client_014"", ""1:1"": ""client_019"", ""1:2"": ""client_011"", ""1:3"": ""client_017""}"
12,1.535685658454895,1.5354344844818115,0.025119179859757423,0.01,0.328125,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_007"", ""0:2"": ""client_009"", ""0:3"": ""client_003"", ""1:0"": ""client_012"", ""1:1"": ""client_018"", ""1:2"": ""client_016"", ""1:3"": ""client_013""}"
13,1.4351884126663208,1.4346569776535034,0.053144752979278564,0.01,0.369140625,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_001"", ""0:2"": ""client_000"", ""0:3"": ""client_004"", ""1:0"": ""client_010"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_011""}"
