round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.491243362426758,2.491243362426758,0.0,0.0,0.0888671875,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_018"", ""1:0"": ""client_033"", ""1:1"": ""client_035"", ""1:2"": ""client_032"", ""1:3"": ""client_034"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_000"", ""2:3"": ""client_002"", ""3:0"": ""client_027"", ""3:1"": ""client_028"", ""3:2"": ""client_023"", ""3:3"": ""client_020""}"
2,2.4885308742523193,2.4885308742523193,0.0,0.0,0.0830078125,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_014"", ""1:0"": ""client_031"", ""1:1"": ""client_038"", ""1:2"": ""client_037"", ""1:3"": ""client_030"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_006"", ""3:0"": ""client_022"", ""3:1"": ""client_029"", ""3:2"": ""client_021"", ""3:3"": ""client_024""}"
3,2.481426239013672,2.481426239013672,0.0,0.0,0.091796875,4,4,16,16,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_019"", ""0:3"": ""client_016"", ""1:0"": ""client_036"", ""1:1"": ""client_039"", ""1:2"": ""client_038"", ""1:3"": ""client_030"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_005"", ""2:3"": ""client_007"", ""3:0"": ""client_025"", ""3:1"": ""client_026"", ""3:2"": ""client_020"", ""3:3"": ""client_023""}"
4,2.4740567207336426,2.4740567207336426,0.0,0.0,0.0849609375,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_014"", ""1:0"": ""client_033"", ""1:1"": ""client_032"", ""1:2"": ""client_037"", ""1:3"": ""client_035"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_002"", ""2:3"": ""client_006"", ""3:0"": ""client_029"", ""3:1"": ""client_028"", ""3:2"": ""client_022"", ""3:3"": ""client_021""}"
5,2.46566104888916,2.46566104888916,0.0,0.0,0.1298828125,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_034"", ""1:1"": ""client_031"", ""1:2"": ""client_039"", ""1:3"": ""client_036"", ""2:0"": ""client_000"", ""2:1"": ""client_001"", ""2:2"": ""client_008"", ""2:3"": ""client_003"", ""3:0"": ""client_027"", ""3:1"": ""client_024"", ""3:2"": ""client_026"", ""3:3"": ""client_025""}"
6,2.4502010345458984,2.4502010345458984,0.0,0.0,0.244140625,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_018"", ""1:0"": ""client_034"", ""1:1"": ""client_039"", ""1:2"": ""client_031"", ""1:3"": ""client_037"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_000"", ""2:3"": ""client_004"", ""3:0"": ""client_029"", ""3:1"": ""client_020"", ""3:2"": ""client_021"", ""3:3"": ""client_026""}"
7,2.449660062789917,2.449660062789917,0.0,0.0,0.1845703125,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_017"", ""0:2"": ""client_019"", ""0:3"": ""client_013"", ""1:0"": ""client_032"", ""1:1"": ""client_038"", ""1:2"": ""client_036"", ""1:3"": ""client_033"", ""2:0"": ""client_006"", ""2:1"": ""client_007"", ""2:2"": ""client_008"", ""2:3"": ""client_009"", ""3:0"": ""client_028"", ""3:1"": ""client_027"", ""3:2"": ""client_025"", ""3:3"": ""client_024""}"
8,2.436054229736328,2.436054229736328,0.0,0.0,0.140625,4,4,16,16,"{""0:0"": ""client_012"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_030"", ""1:1"": ""client_035"", ""1:2"": ""client_038"", ""1:3"": ""client_032"", ""2:0"": ""client_005"", ""2:1"": ""client_003"", ""2:2"": ""client_007"", ""2:3"": ""client_009"", ""3:0"": ""client_023"", ""3:1"": ""client_022"", ""3:2"": ""client_028"", ""3:3"": ""client_024""}"
9,2.423234701156616,2.423234701156616,0.0,0.0,0.123046875,4,4,16,16,"{""0:0"": ""client_019"", ""0:1"": ""client_015"", ""0:2"": ""client_016"", ""0:3"": ""client_010"", ""1:0"": ""client_037"", ""1:1"": ""client_034"", ""1:2"": ""client_033"", ""1:3"": ""client_039"", ""2:0"": ""client_000"", ""2:1"": ""client_002"", ""2:2"": ""client_006"", ""2:3"": ""client_004"", ""3:0"": ""client_021"", ""3:1"": ""client_029"", ""3:2"": ""client_026"", ""3:3"": ""client_025""}"
10,2.4097514152526855,2.4097514152526855,0.0,0.0,0.12109375,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_018"", ""0:2"": ""client_011"", ""0:3"": ""client_012"", ""1:0"": ""client_031"", ""1:1"": ""client_036"", ""1:2"": ""client_030"", ""1:3"": ""client_035"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_003"", ""2:3"": ""client_005"", ""3:0"": ""client_020"", ""3:1"": ""client_027"", ""3:2"": ""client_023"", ""3:3"": ""client_022""}"
11,2.382606267929077,2.382606267929077,0.0,0.0,0.125,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_019"", ""0:2"": ""client_015"", ""0:3"": ""client_010"", ""1:0"": ""client_034"", ""1:1"": ""client_035"", ""1:2"": ""client_033"", ""1:3"": ""client_038"", ""2:0"": ""client_000"", ""2:1"": ""client_003"", ""2:2"": ""client_002"", ""2:3"": ""client_005"", ""3:0"": ""client_025"", ""3:1"": ""client_020"", ""3:2"": ""client_029"", ""3:3"": ""client_021""}"
12,2.3802337646484375,2.3802337646484375,0.0,0.0,0.1103515625,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_012"", ""0:2"": ""client_011"", ""0:3"": ""client_013"", ""1:0"": ""client_039"", ""1:1"": ""client_036"", ""1:2"": ""client_032"", ""1:3"": ""client_031"", ""2:0"": ""client_008"", ""2:1"": ""client_004"", ""2:2"": ""client_006"", ""2:3"": ""client_009"", ""3:0"": ""client_023"", ""3:1"": ""client_026"", ""3:2"": ""client_027"", ""3:3"": ""client_024""}"
13,2.341048002243042,2.341048002243042,0.0,0.0,0.12890625,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_014"", ""0:2"": ""client_011"", ""0:3"": ""client_012"", ""1:0"": ""client_030"", ""1:1"": ""client_037"", ""1:2"": ""client_033"", ""1:3"": ""client_032"", ""2:0"": ""client_007"", ""2:1"": ""client_001"", ""2:2"": ""client_004"", ""2:3"": ""client_005"", ""3:0"": ""client_022"", ""3:1"": ""client_028"", ""3:2"": ""client_027"", ""3:3"": ""client_021""}"
14,2.315838098526001,2.315838098526001,0.0,0.0,0.12890625,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_010"", ""0:2"": ""client_019"", ""0:3"": ""client_013"", ""1:0"": ""client_038"", ""1:1"": ""client_039"", ""1:2"": ""client_036"", ""1:3"": ""client_034"", ""2:0"": ""client_008"", ""2:1"": ""client_006"", ""2:2"": ""client_002"", ""2:3"": ""client_009"", ""3:0"": ""client_020"", ""3:1"": ""client_029"", ""3:2"": ""client_026"", ""3:3"": ""client_024""}"
15,2.296959161758423,2.296959161758423,0.0,0.0,0.142578125,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_018"", ""0:3"": ""client_014"", ""1:0"": ""client_035"", ""1:1"": ""client_031"", ""1:2"": ""client_037"", ""1:3"": ""client_030"", ""2:0"": ""client_003"", ""2:1"": ""client_000"", ""2:2"": ""client_007"", ""2:3"": ""client_001"", ""3:0"": ""client_025"", ""3:1"": ""client_023"", ""3:2"": ""client_022"", ""3:3"": ""client_028""}"
16,2.272904872894287,2.272904872894287,0.0,0.0,0.15625,4,4,16,16,"{""0:0"": ""client_019"", ""0:1"": ""client_014"", ""0:2"": ""client_017"", ""0:3"": ""client_012"", ""1:0"": ""client_039"", ""1:1"": ""client_034"", ""1:2"": ""client_035"", ""1:3"": ""client_036"", ""2:0"": ""client_005"", ""2:1"": ""client_000"", ""2:2"": ""client_004"", ""2:3"": ""client_002"", ""3:0"": ""client_028"", ""3:1"": ""client_022"", ""3:2"": ""client_023"", ""3:3"": ""client_026""}"
17,2.2564523220062256,2.2564523220062256,0.0,0.0,0.1533203125,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_032"", ""1:1"": ""client_033"", ""1:2"": ""client_038"", ""1:3"": ""client_031"", ""2:0"": ""client_006"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_007"", ""3:0"": ""client_024"", ""3:1"": ""client_025"", ""3:2"": ""client_020"", ""3:3"": ""client_029""}"
18,2.2203617095947266,2.2203617095947266,0.0,0.0,0.162109375,4,4,16,16,"{""0:0"": ""client_013"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_015"", ""1:0"": ""client_030"", ""1:1"": ""client_037"", ""1:2"": ""client_039"", ""1:3"": ""client_031"", ""2:0"": ""client_008"", ""2:1"": ""client_003"", ""2:2"": ""client_006"", ""2:3"": ""client_009"", ""3:0"": ""client_027"", ""3:1"": ""client_021"", ""3:2"": ""client_025"", ""3:3"": ""client_023""}"
19,2.2060470581054688,2.2060470581054688,0.0,0.0,0.1787109375,4,4,16,16,"{""0:0"": ""client_014"", ""0:1"": ""client_010"", ""0:2"": ""client_018"", ""0:3"": ""client_011"", ""1:0"": ""client_035"", ""1:1"": ""client_032"", ""1:2"": ""client_033"", ""1:3"": ""client_038"", ""2:0"": ""client_005"", ""2:1"": ""client_007"", ""2:2"": ""client_000"", ""2:3"": ""client_001"", ""3:0"": ""client_022"", ""3:1"": ""client_028"", ""3:2"": ""client_026"", ""3:3"": ""client_024""}"
20,2.142866373062134,2.142866373062134,0.0,0.0,0.22265625,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_012"", ""0:2"": ""client_013"", ""0:3"": ""client_016"", ""1:0"": ""client_034"", ""1:1"": ""client_036"", ""1:2"": ""client_037"", ""1:3"": ""client_030"", ""2:0"": ""client_004"", ""2:1"": ""client_002"", ""2:2"": ""client_008"", ""2:3"": ""client_003"", ""3:0"": ""client_029"", ""3:1"": ""client_020"", ""3:2"": ""client_021"", ""3:3"": ""client_027""}"
21,2.1130495071411133,2.1130495071411133,0.0,0.0,0.2939453125,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_014"", ""0:2"": ""client_019"", ""0:3"": ""client_010"", ""1:0"": ""client_036"", ""1:1"": ""client_038"", ""1:2"": ""client_037"", ""1:3"": ""client_032"", ""2:0"": ""client_007"", ""2:1"": ""client_000"", ""2:2"": ""client_009"", ""2:3"": ""client_006"", ""3:0"": ""client_023"", ""3:1"": ""client_025"", ""3:2"": ""client_026"", ""3:3"": ""client_022""}"
22,2.0918354988098145,2.0918354988098145,0.0,0.0,0.30859375,4,4,16,16,"{""0:0"": ""client_013"", ""0:1"": ""client_017"", ""0:2"": ""client_015"", ""0:3"": ""client_018"", ""1:0"": ""client_034"", ""1:1"": ""client_035"", ""1:2"": ""client_033"", ""1:3"": ""client_031"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_008"", ""2:3"": ""client_004"", ""3:0"": ""client_028"", ""3:1"": ""client_024"", ""3:2"": ""client_029"", ""3:3"": ""client_021""}"
23,2.076054096221924,2.076054096221924,0.0,0.0,0.314453125,4,4,16,16,"{""0:0"": ""client_011"", ""0:1"": ""client_012"", ""0:2"": ""client_017"", ""0:3"": ""client_010"", ""1:0"": ""client_030"", ""1:1"": ""client_039"", ""1:2"": ""client_036"", ""1:3"": ""client_033"", ""2:0"": ""client_003"", ""2:1"": ""client_005"", ""2:2"": ""client_000"", ""2:3"": ""client_008"", ""3:0"": ""client_027"", ""3:1"": ""client_020"", ""3:2"": ""client_029"", ""3:3"": ""client_026""}"
24,2.0454137325286865,2.0454137325286865,0.0,0.0,0.3173828125,4,4,16,16,"{""0:0"": ""client_014"", ""0:1"": ""client_016"", ""0:2"": ""client_018"", ""0:3"": ""client_019"", ""1:0"": ""client_035"", ""1:1"": ""client_032"", ""1:2"": ""client_037"", ""1:3"": ""client_031"", ""2:0"": ""client_007"", ""2:1"": ""client_006"", ""2:2"": ""client_001"", ""2:3"": ""client_002"", ""3:0"": ""client_028"", ""3:1"": ""client_022"", ""3:2"": ""client_023"", ""3:3"": ""client_025""}"
25,2.0193819999694824,2.0193819999694824,0.0,0.0,0.3291015625,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_011"", ""1:0"": ""client_034"", ""1:1"": ""client_038"", ""1:2"": ""client_039"", ""1:3"": ""client_030"", ""2:0"": ""client_009"", ""2:1"": ""client_004"", ""2:2"": ""client_005"", ""2:3"": ""client_003"", ""3:0"": ""client_021"", ""3:1"": ""client_024"", ""3:2"": ""client_027"", ""3:3"": ""client_020""}"
