round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,1.7857803106307983,1.7857576608657837,0.00045201857574284077,0.05,0.185546875,2,4,8,8,"{""0:0"": ""client_007"", ""0:1"": ""client_003"", ""0:2"": ""client_002"", ""0:3"": ""client_008"", ""1:0"": ""client_013"", ""1:1"": ""client_015"", ""1:2"": ""client_012"", ""1:3"": ""client_014""}"
2,1.7830021381378174,1.7829787731170654,0.0004672457871492952,0.05,0.181640625,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_006"", ""0:2"": ""client_009"", ""0:3"": ""client_004"", ""1:0"": ""client_011"", ""1:1"": ""client_018"", ""1:2"": ""client_017"", ""1:3"": ""client_010""}"
3,1.781341791152954,1.7813161611557007,0.0005116279353387654,0.05,0.244140625,2,4,8,8,"{""0:0"": ""client_000"", ""0:1"": ""client_001"", ""0:2"": ""client_007"", ""0:3"": ""client_005"", ""1:0"": ""client_016"", ""1:1"": ""client_019"", ""1:2"": ""client_017"", ""1:3"": ""client_018""}"
4,1.771403431892395,1.7713736295700073,0.0005952771753072739,0.05,0.28125,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_004"", ""0:2"": ""client_009"", ""0:3"": ""client_006"", ""1:0"": ""client_013"", ""1:1"": ""client_010"", ""1:2"": ""client_012"", ""1:3"": ""client_011""}"
5,1.7675602436065674,1.7675144672393799,0.0009146299562416971,0.05,0.25390625,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_008"", ""0:2"": ""client_000"", ""0:3"": ""client_001"", ""1:0"": ""client_014"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_016""}"
6,1.7416332960128784,1.7415658235549927,0.0013503703521564603,0.05,0.291015625,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_006"", ""0:2"": ""client_007"", ""0:3"": ""client_003"", ""1:0"": ""client_018"", ""1:1"": ""client_010"", ""1:2"": ""client_013"", ""1:3"": ""client_012""}"
7,1.7269974946975708,1.726887583732605,0.0021973869297653437,0.05,0.3046875,2,4,8,8,"{""0:0"": ""client_000"", ""0:1"": ""client_002"", ""0:2"": ""client_004"", ""0:3"": ""client_008"", ""1:0"": ""client_017"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_014""}"
8,1.7065188884735107,1.7063488960266113,0.0033991823438555002,0.05,0.337890625,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_001"", ""0:2"": ""client_007"", ""0:3"": ""client_004"", ""1:0"": ""client_011"", ""1:1"": ""client_016"", ""1:2"": ""client_010"", ""1:3"": ""client_013""}"
9,1.6755598783493042,1.6752357482910156,0.00648267799988389,0.05,0.357421875,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_008"", ""0:2"": ""client_002"", ""0:3"": ""client_006"", ""1:0"": ""client_019"", ""1:1"": ""client_018"", ""1:2"": ""client_012"", ""1:3"": ""client_015""}"
10,1.627782940864563,1.6273837089538574,0.007984724827110767,0.05,0.373046875,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_000"", ""0:2"": ""client_005"", ""0:3"": ""client_001"", ""1:0"": ""client_017"", ""1:1"": ""client_014"", ""1:2"": ""client_016"", ""1:3"": ""client_011""}"
11,1.5546711683273315,1.5537341833114624,0.018738992512226105,0.05,0.345703125,2,4,8,8,"{""0:0"": ""client_006"", ""0:1"": ""client_000"", ""0:2"": ""client_004"", ""0:3"": ""client_008"", ""1:0"": ""client_014"", ""1:1"": ""client_019"", ""1:2"": ""client_011"", ""1:3"": ""client_017""}"
12,1.5367677211761475,1.535522699356079,0.02490038238465786,0.05,0.33203125,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_007"", ""0:2"": ""client_009"", ""0:3"": ""client_003"", ""1:0"": ""client_012"", ""1:1"": ""client_018"", ""1:2"": ""client_016"", ""1:3"": ""client_013""}"
13,1.4372421503067017,1.4346044063568115,0.05275552347302437,0.05,0.37109375,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_001"", ""0:2"": ""client_000"", ""0:3"": ""client_004"", ""1:0"": ""client_010"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_011""}"
14,1.424442172050476,1.4190809726715088,0.1072249785065651,0.05,0.359375,2,4,8,8,"{""0:0"": ""client_006"", ""0:1"": ""client_007"", ""0:2"": ""client_008"", ""0:3"": ""client_009"", ""1:0"": ""client_016"", ""1:1"": ""client_018"", ""1:2"": ""client_017"", ""1:3"": ""client_014""}"
15,1.3588439226150513,1.3516571521759033,0.14373482763767242,0.05,0.37890625,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_003"", ""0:2"": ""client_002"", ""0:3"": ""client_001"", ""1:0"": ""client_013"", ""1:1"": ""client_012"", ""1:2"": ""client_010"", ""1:3"": ""client_015""}"
16,1.3457140922546387,1.3308370113372803,0.297542005777359,0.05,0.359375,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_004"", ""0:2"": ""client_009"", ""0:3"": ""client_001"", ""1:0"": ""client_018"", ""1:1"": ""client_010"", ""1:2"": ""client_015"", ""1:3"": ""client_012""}"
17,1.2900598049163818,1.2739624977111816,0.32194533944129944,0.05,0.361328125,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_006"", ""0:2"": ""client_000"", ""0:3"": ""client_007"", ""1:0"": ""client_017"", ""1:1"": ""client_014"", ""1:2"": ""client_013"", ""1:3"": ""client_019""}"
18,1.3207404613494873,1.2927229404449463,0.560349702835083,0.05,0.359375,2,4,8,8,"{""0:0"": ""client_008"", ""0:1"": ""client_002"", ""0:2"": ""client_003"", ""0:3"": ""client_007"", ""1:0"": ""client_011"", ""1:1"": ""client_016"", ""1:2"": ""client_013"", ""1:3"": ""client_018""}"
19,1.2309857606887817,1.2048591375350952,0.5225335955619812,0.05,0.361328125,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_000"", ""0:2"": ""client_005"", ""0:3"": ""client_006"", ""1:0"": ""client_014"", ""1:1"": ""client_019"", ""1:2"": ""client_015"", ""1:3"": ""client_010""}"
20,1.2102627754211426,1.178296685218811,0.6393212676048279,0.05,0.42578125,2,4,8,8,"{""0:0"": ""client_004"", ""0:1"": ""client_001"", ""0:2"": ""client_002"", ""0:3"": ""client_008"", ""1:0"": ""client_017"", ""1:1"": ""client_012"", ""1:2"": ""client_011"", ""1:3"": ""client_016""}"
21,1.1504102945327759,1.1222889423370361,0.5624268651008606,0.05,0.4609375,2,4,8,8,"{""0:0"": ""client_007"", ""0:1"": ""client_009"", ""0:2"": ""client_005"", ""0:3"": ""client_000"", ""1:0"": ""client_014"", ""1:1"": ""client_015"", ""1:2"": ""client_013"", ""1:3"": ""client_018""}"
22,1.1099275350570679,1.0751417875289917,0.6957159042358398,0.05,0.4921875,2,4,8,8,"{""0:0"": ""client_006"", ""0:1"": ""client_002"", ""0:2"": ""client_001"", ""0:3"": ""client_003"", ""1:0"": ""client_019"", ""1:1"": ""client_016"", ""1:2"": ""client_012"", ""1:3"": ""client_011""}"
23,1.0837479829788208,1.0509592294692993,0.6557744145393372,0.05,0.490234375,2,4,8,8,"{""0:0"": ""client_008"", ""0:1"": ""client_004"", ""0:2"": ""client_000"", ""0:3"": ""client_003"", ""1:0"": ""client_010"", ""1:1"": ""client_017"", ""1:2"": ""client_015"", ""1:3"": ""client_019""}"
24,1.0278147459030151,1.0035675764083862,0.4849432408809662,0.05,0.494140625,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_005"", ""0:2"": ""client_006"", ""0:3"": ""client_009"", ""1:0"": ""client_011"", ""1:1"": ""client_013"", ""1:2"": ""client_016"", ""1:3"": ""client_014""}"
25,1.104443073272705,1.074434518814087,0.6001704335212708,0.05,0.43359375,2,4,8,8,"{""0:0"": ""client_007"", ""0:1"": ""client_001"", ""0:2"": ""client_008"", ""0:3"": ""client_004"", ""1:0"": ""client_012"", ""1:1"": ""client_018"", ""1:2"": ""client_010"", ""1:3"": ""client_017""}"
26,1.0194377899169922,0.9979798197746277,0.42916038632392883,0.05,0.4609375,2,4,8,8,"{""0:0"": ""client_001"", ""0:1"": ""client_002"", ""0:2"": ""client_007"", ""0:3"": ""client_000"", ""1:0"": ""client_013"", ""1:1"": ""client_012"", ""1:2"": ""client_017"", ""1:3"": ""client_018""}"
27,1.023683786392212,1.0027090311050415,0.41949525475502014,0.05,0.4765625,2,4,8,8,"{""0:0"": ""client_008"", ""0:1"": ""client_009"", ""0:2"": ""client_003"", ""0:3"": ""client_005"", ""1:0"": ""client_019"", ""1:1"": ""client_016"", ""1:2"": ""client_014"", ""1:3"": ""client_010""}"
28,1.0496832132339478,1.0274066925048828,0.44553127884864807,0.05,0.458984375,2,4,8,8,"{""0:0"": ""client_006"", ""0:1"": ""client_004"", ""0:2"": ""client_005"", ""0:3"": ""client_008"", ""1:0"": ""client_015"", ""1:1"": ""client_011"", ""1:2"": ""client_017"", ""1:3"": ""client_010""}"
