round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.4912500381469727,2.491243362426758,0.0006769197061657906,0.01,0.0888671875,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_018"", ""1:0"": ""client_033"", ""1:1"": ""client_035"", ""1:2"": ""client_032"", ""1:3"": ""client_034"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_000"", ""2:3"": ""client_002"", ""3:0"": ""client_027"", ""3:1"": ""client_028"", ""3:2"": ""client_023"", ""3:3"": ""client_020""}"
2,2.4885382652282715,2.4885315895080566,0.0006758722593076527,0.01,0.0830078125,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_014"", ""1:0"": ""client_031"", ""1:1"": ""client_038"", ""1:2"": ""client_037"", ""1:3"": ""client_030"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_006"", ""3:0"": ""client_022"", ""3:1"": ""client_029"", ""3:2"": ""client_021"", ""3:3"": ""client_024""}"
3,2.4814364910125732,2.481428861618042,0.0007678458350710571,0.01,0.091796875,4,4,16,16,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_019"", ""0:3"": ""client_016"", ""1:0"": ""client_036"", ""1:1"": ""client_039"", ""1:2"": ""client_038"", ""1:3"": ""client_030"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_005"", ""2:3"": ""client_007"", ""3:0"": ""client_025"", ""3:1"": ""client_026"", ""3:2"": ""client_020"", ""3:3"": ""client_023""}"
4,2.4740684032440186,2.4740583896636963,0.0009942629840224981,0.01,0.0859375,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_014"", ""1:0"": ""client_033"", ""1:1"": ""client_032"", ""1:2"": ""client_037"", ""1:3"": ""client_035"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_002"", ""2:3"": ""client_006"", ""3:0"": ""client_029"", ""3:1"": ""client_028"", ""3:2"": ""client_022"", ""3:3"": ""client_021""}"
5,2.4656755924224854,2.465664863586426,0.0010616766521707177,0.01,0.1298828125,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_034"", ""1:1"": ""client_031"", ""1:2"": ""client_039"", ""1:3"": ""client_036"", ""2:0"": ""client_000"", ""2:1"": ""client_001"", ""2:2"": ""client_008"", ""2:3"": ""client_003"", ""3:0"": ""client_027"", ""3:1"": ""client_024"", ""3:2"": ""client_026"", ""3:3"": ""client_025""}"
6,2.450221061706543,2.4502053260803223,0.001561904326081276,0.01,0.244140625,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_018"", ""1:0"": ""client_034"", ""1:1"": ""client_039"", ""1:2"": ""client_031"", ""1:3"": ""client_037"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_000"", ""2:3"": ""client_004"", ""3:0"": ""client_029"", ""3:1"": ""client_020"", ""3:2"": ""client_021"", ""3:3"": ""client_026""}"
7,2.4496829509735107,2.4496612548828125,0.002180310897529125,0.01,0.1845703125,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_017"", ""0:2"": ""client_019"", ""0:3"": ""client_013"", ""1:0"": ""client_032"", ""1:1"": ""client_038"", ""1:2"": ""client_036"", ""1:3"": ""client_033"", ""2:0"": ""client_006"", ""2:1"": ""client_007"", ""2:2"": ""client_008"", ""2:3"": ""client_009"", ""3:0"": ""client_028"", ""3:1"": ""client_027"", ""3:2"": ""client_025"", ""3:3"": ""client_024""}"
8,2.4361019134521484,2.436068058013916,0.0033906553871929646,0.01,0.140625,4,4,16,16,"{""0:0"": ""client_012"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_030"", ""1:1"": ""client_035"", ""1:2"": ""client_038"", ""1:3"": ""client_032"", ""2:0"": ""client_005"", ""2:1"": ""client_003"", ""2:2"": ""client_007"", ""2:3"": ""client_009"", ""3:0"": ""client_023"", ""3:1"": ""client_022"", ""3:2"": ""client_028"", ""3:3"": ""client_024""}"
9,2.423281669616699,2.423240900039673,0.0040855444967746735,0.01,0.123046875,4,4,16,16,"{""0:0"": ""client_019"", ""0:1"": ""client_015"", ""0:2"": ""client_016"", ""0:3"": ""client_010"", ""1:0"": ""client_037"", ""1:1"": ""client_034"", ""1:2"": ""client_033"", ""1:3"": ""client_039"", ""2:0"": ""client_000"", ""2:1"": ""client_002"", ""2:2"": ""client_006"", ""2:3"": ""client_004"", ""3:0"": ""client_021"", ""3:1"": ""client_029"", ""3:2"": ""client_026"", ""3:3"": ""client_025""}"
10,2.4097847938537598,2.4097259044647217,0.005883628502488136,0.01,0.12109375,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_018"", ""0:2"": ""client_011"", ""0:3"": ""client_012"", ""1:0"": ""client_031"", ""1:1"": ""client_036"", ""1:2"": ""client_030"", ""1:3"": ""client_035"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_003"", ""2:3"": ""client_005"", ""3:0"": ""client_020"", ""3:1"": ""client_027"", ""3:2"": ""client_023"", ""3:3"": ""client_022""}"
11,2.3827269077301025,2.3826444149017334,0.008253570646047592,0.01,0.125,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_019"", ""0:2"": ""client_015"", ""0:3"": ""client_010"", ""1:0"": ""client_034"", ""1:1"": ""client_035"", ""1:2"": ""client_033"", ""1:3"": ""client_038"", ""2:0"": ""client_000"", ""2:1"": ""client_003"", ""2:2"": ""client_002"", ""2:3"": ""client_005"", ""3:0"": ""client_025"", ""3:1"": ""client_020"", ""3:2"": ""client_029"", ""3:3"": ""client_021""}"
