round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.479891061782837,2.479891061782837,0.0,0.0,0.10416666666666667,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_018"", ""1:0"": ""client_023"", ""1:1"": ""client_025"", ""1:2"": ""client_022"", ""1:3"": ""client_024"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_000"", ""2:3"": ""client_002""}"
2,2.4781806468963623,2.4781806468963623,0.0,0.0,0.12369791666666667,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_014"", ""1:0"": ""client_021"", ""1:1"": ""client_028"", ""1:2"": ""client_027"", ""1:3"": ""client_020"", ""2:0"": ""client_004"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_006""}"
3,2.4774858951568604,2.4774858951568604,0.0,0.0,0.10416666666666667,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_017"", ""0:3"": ""client_018"", ""1:0"": ""client_026"", ""1:1"": ""client_029"", ""1:2"": ""client_027"", ""1:3"": ""client_023"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_000"", ""2:3"": ""client_002""}"
4,2.4724576473236084,2.4724576473236084,0.0,0.0,0.12890625,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_012"", ""0:2"": ""client_019"", ""0:3"": ""client_014"", ""1:0"": ""client_020"", ""1:1"": ""client_022"", ""1:2"": ""client_024"", ""1:3"": ""client_028"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_009"", ""2:3"": ""client_004""}"
5,2.470646381378174,2.470646381378174,0.0,0.0,0.11067708333333333,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_025"", ""1:1"": ""client_021"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_001"", ""2:1"": ""client_006"", ""2:2"": ""client_008"", ""2:3"": ""client_003""}"
6,2.462888479232788,2.462888479232788,0.0,0.0,0.12890625,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_017"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_020"", ""1:1"": ""client_023"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_006"", ""2:1"": ""client_000"", ""2:2"": ""client_004"", ""2:3"": ""client_008""}"
7,2.453953504562378,2.453953504562378,0.0,0.0,0.16927083333333334,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_012"", ""0:2"": ""client_016"", ""0:3"": ""client_013"", ""1:0"": ""client_028"", ""1:1"": ""client_022"", ""1:2"": ""client_021"", ""1:3"": ""client_025"", ""2:0"": ""client_005"", ""2:1"": ""client_007"", ""2:2"": ""client_009"", ""2:3"": ""client_003""}"
8,2.4558537006378174,2.4558537006378174,0.0,0.0,0.17578125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_027"", ""1:1"": ""client_024"", ""1:2"": ""client_022"", ""1:3"": ""client_021"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_009"", ""2:3"": ""client_000""}"
9,2.443671226501465,2.443671226501465,0.0,0.0,0.18619791666666666,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_012"", ""0:2"": ""client_018"", ""0:3"": ""client_016"", ""1:0"": ""client_020"", ""1:1"": ""client_026"", ""1:2"": ""client_028"", ""1:3"": ""client_029"", ""2:0"": ""client_006"", ""2:1"": ""client_008"", ""2:2"": ""client_007"", ""2:3"": ""client_005""}"
10,2.4419476985931396,2.4419476985931396,0.0,0.0,0.16796875,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_015"", ""0:2"": ""client_011"", ""0:3"": ""client_010"", ""1:0"": ""client_025"", ""1:1"": ""client_023"", ""1:2"": ""client_024"", ""1:3"": ""client_027"", ""2:0"": ""client_004"", ""2:1"": ""client_003"", ""2:2"": ""client_001"", ""2:3"": ""client_002""}"
11,2.437993288040161,2.437993288040161,0.0,0.0,0.19921875,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_014"", ""0:2"": ""client_019"", ""0:3"": ""client_011"", ""1:0"": ""client_028"", ""1:1"": ""client_020"", ""1:2"": ""client_025"", ""1:3"": ""client_022"", ""2:0"": ""client_003"", ""2:1"": ""client_007"", ""2:2"": ""client_009"", ""2:3"": ""client_000""}"
12,2.418233871459961,2.418233871459961,0.0,0.0,0.171875,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_010"", ""0:3"": ""client_017"", ""1:0"": ""client_027"", ""1:1"": ""client_024"", ""1:2"": ""client_023"", ""1:3"": ""client_029"", ""2:0"": ""client_002"", ""2:1"": ""client_005"", ""2:2"": ""client_006"", ""2:3"": ""client_004""}"
13,2.4155893325805664,2.4155893325805664,0.0,0.0,0.18489583333333334,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_012"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_027"", ""1:3"": ""client_029"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_004"", ""2:3"": ""client_005""}"
14,2.4038026332855225,2.4038026332855225,0.0,0.0,0.1875,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_019"", ""0:2"": ""client_016"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_020"", ""1:2"": ""client_022"", ""1:3"": ""client_023"", ""2:0"": ""client_003"", ""2:1"": ""client_009"", ""2:2"": ""client_006"", ""2:3"": ""client_002""}"
15,2.395564317703247,2.395564317703247,0.0,0.0,0.19270833333333334,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_017"", ""0:2"": ""client_018"", ""0:3"": ""client_012"", ""1:0"": ""client_028"", ""1:1"": ""client_024"", ""1:2"": ""client_026"", ""1:3"": ""client_021"", ""2:0"": ""client_000"", ""2:1"": ""client_007"", ""2:2"": ""client_008"", ""2:3"": ""client_001""}"
16,2.384707450866699,2.384707450866699,0.0,0.0,0.21614583333333334,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_020"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_001"", ""2:1"": ""client_002"", ""2:2"": ""client_007"", ""2:3"": ""client_000""}"
17,2.3793575763702393,2.3793575763702393,0.0,0.0,0.20182291666666666,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_014"", ""0:2"": ""client_016"", ""0:3"": ""client_019"", ""1:0"": ""client_023"", ""1:1"": ""client_026"", ""1:2"": ""client_027"", ""1:3"": ""client_024"", ""2:0"": ""client_008"", ""2:1"": ""client_009"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
18,2.384129285812378,2.384129285812378,0.0,0.0,0.20442708333333334,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_012"", ""1:0"": ""client_022"", ""1:1"": ""client_028"", ""1:2"": ""client_024"", ""1:3"": ""client_025"", ""2:0"": ""client_006"", ""2:1"": ""client_004"", ""2:2"": ""client_007"", ""2:3"": ""client_001""}"
19,2.355593681335449,2.355593681335449,0.0,0.0,0.203125,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_019"", ""0:2"": ""client_016"", ""0:3"": ""client_014"", ""1:0"": ""client_027"", ""1:1"": ""client_026"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_000"", ""2:1"": ""client_009"", ""2:2"": ""client_005"", ""2:3"": ""client_002""}"
20,2.355578660964966,2.355578660964966,0.0,0.0,0.20703125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_015"", ""0:2"": ""client_017"", ""0:3"": ""client_011"", ""1:0"": ""client_023"", ""1:1"": ""client_020"", ""1:2"": ""client_028"", ""1:3"": ""client_022"", ""2:0"": ""client_008"", ""2:1"": ""client_003"", ""2:2"": ""client_006"", ""2:3"": ""client_004""}"
21,2.290438175201416,2.290438175201416,0.0,0.0,0.23567708333333334,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_014"", ""0:2"": ""client_017"", ""0:3"": ""client_012"", ""1:0"": ""client_029"", ""1:1"": ""client_024"", ""1:2"": ""client_025"", ""1:3"": ""client_026"", ""2:0"": ""client_005"", ""2:1"": ""client_000"", ""2:2"": ""client_004"", ""2:3"": ""client_002""}"
22,2.3297009468078613,2.3297009468078613,0.0,0.0,0.2421875,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_022"", ""1:1"": ""client_023"", ""1:2"": ""client_028"", ""1:3"": ""client_021"", ""2:0"": ""client_006"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_007""}"
23,2.310126781463623,2.310126781463623,0.0,0.0,0.21614583333333334,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_016"", ""0:2"": ""client_018"", ""0:3"": ""client_012"", ""1:0"": ""client_020"", ""1:1"": ""client_027"", ""1:2"": ""client_029"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_003"", ""2:2"": ""client_009"", ""2:3"": ""client_001""}"
24,2.2487833499908447,2.2487833499908447,0.0,0.0,0.23828125,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_019"", ""1:0"": ""client_024"", ""1:1"": ""client_028"", ""1:2"": ""client_021"", ""1:3"": ""client_023"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_002"", ""2:3"": ""client_004""}"
25,2.2838237285614014,2.2838237285614014,0.0,0.0,0.234375,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_016"", ""1:0"": ""client_026"", ""1:1"": ""client_022"", ""1:2"": ""client_020"", ""1:3"": ""client_027"", ""2:0"": ""client_006"", ""2:1"": ""client_000"", ""2:2"": ""client_003"", ""2:3"": ""client_008""}"
26,2.2417871952056885,2.2417871952056885,0.0,0.0,0.22786458333333334,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_023"", ""1:2"": ""client_022"", ""1:3"": ""client_028"", ""2:0"": ""client_006"", ""2:1"": ""client_004"", ""2:2"": ""client_009"", ""2:3"": ""client_000""}"
27,2.194023370742798,2.194023370742798,0.0,0.0,0.24739583333333334,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_010"", ""0:2"": ""client_011"", ""0:3"": ""client_014"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_024"", ""1:3"": ""client_027"", ""2:0"": ""client_003"", ""2:1"": ""client_007"", ""2:2"": ""client_005"", ""2:3"": ""client_008""}"
28,2.198080062866211,2.198080062866211,0.0,0.0,0.23177083333333334,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_012"", ""0:2"": ""client_016"", ""0:3"": ""client_018"", ""1:0"": ""client_029"", ""1:1"": ""client_020"", ""1:2"": ""client_027"", ""1:3"": ""client_026"", ""2:0"": ""client_001"", ""2:1"": ""client_002"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
