round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,1.7857576608657837,1.7857576608657837,0.0,0.0,0.185546875,2,4,8,8,"{""0:0"": ""client_007"", ""0:1"": ""client_003"", ""0:2"": ""client_002"", ""0:3"": ""client_008"", ""1:0"": ""client_013"", ""1:1"": ""client_015"", ""1:2"": ""client_012"", ""1:3"": ""client_014""}"
2,1.7829811573028564,1.7829811573028564,0.0,0.0,0.181640625,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_006"", ""0:2"": ""client_009"", ""0:3"": ""client_004"", ""1:0"": ""client_011"", ""1:1"": ""client_018"", ""1:2"": ""client_017"", ""1:3"": ""client_010""}"
3,1.781313180923462,1.781313180923462,0.0,0.0,0.244140625,2,4,8,8,"{""0:0"": ""client_000"", ""0:1"": ""client_001"", ""0:2"": ""client_007"", ""0:3"": ""client_005"", ""1:0"": ""client_016"", ""1:1"": ""client_019"", ""1:2"": ""client_017"", ""1:3"": ""client_018""}"
4,1.7713747024536133,1.7713747024536133,0.0,0.0,0.28125,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_004"", ""0:2"": ""client_009"", ""0:3"": ""client_006"", ""1:0"": ""client_013"", ""1:1"": ""client_010"", ""1:2"": ""client_012"", ""1:3"": ""client_011""}"
5,1.7675153017044067,1.7675153017044067,0.0,0.0,0.25390625,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_008"", ""0:2"": ""client_000"", ""0:3"": ""client_001"", ""1:0"": ""client_014"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_016""}"
6,1.7415904998779297,1.7415904998779297,0.0,0.0,0.291015625,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_006"", ""0:2"": ""client_007"", ""0:3"": ""client_003"", ""1:0"": ""client_018"", ""1:1"": ""client_010"", ""1:2"": ""client_013"", ""1:3"": ""client_012""}"
7,1.7269060611724854,1.7269060611724854,0.0,0.0,0.3046875,2,4,8,8,"{""0:0"": ""client_000"", ""0:1"": ""client_002"", ""0:2"": ""client_004"", ""0:3"": ""client_008"", ""1:0"": ""client_017"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_014""}"
8,1.7063454389572144,1.7063454389572144,0.0,0.0,0.337890625,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_001"", ""0:2"": ""client_007"", ""0:3"": ""client_004"", ""1:0"": ""client_011"", ""1:1"": ""client_016"", ""1:2"": ""client_010"", ""1:3"": ""client_013""}"
9,1.6751888990402222,1.6751888990402222,0.0,0.0,0.353515625,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_008"", ""0:2"": ""client_002"", ""0:3"": ""client_006"", ""1:0"": ""client_019"", ""1:1"": ""client_018"", ""1:2"": ""client_012"", ""1:3"": ""client_015""}"
10,1.6274255514144897,1.6274255514144897,0.0,0.0,0.373046875,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_000"", ""0:2"": ""client_005"", ""0:3"": ""client_001"", ""1:0"": ""client_017"", ""1:1"": ""client_014"", ""1:2"": ""client_016"", ""1:3"": ""client_011""}"
11,1.5537304878234863,1.5537304878234863,0.0,0.0,0.345703125,2,4,8,8,"{""0:0"": ""client_006"", ""0:1"": ""client_000"", ""0:2"": ""client_004"", ""0:3"": ""client_008"", ""1:0"": ""client_014"", ""1:1"": ""client_019"", ""1:2"": ""client_011"", ""1:3"": ""client_017""}"
12,1.5354050397872925,1.5354050397872925,0.0,0.0,0.328125,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_007"", ""0:2"": ""client_009"", ""0:3"": ""client_003"", ""1:0"": ""client_012"", ""1:1"": ""client_018"", ""1:2"": ""client_016"", ""1:3"": ""client_013""}"
13,1.4345895051956177,1.4345895051956177,0.0,0.0,0.369140625,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_001"", ""0:2"": ""client_000"", ""0:3"": ""client_004"", ""1:0"": ""client_010"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_011""}"
14,1.4193798303604126,1.4193798303604126,0.0,0.0,0.359375,2,4,8,8,"{""0:0"": ""client_006"", ""0:1"": ""client_007"", ""0:2"": ""client_008"", ""0:3"": ""client_009"", ""1:0"": ""client_016"", ""1:1"": ""client_018"", ""1:2"": ""client_017"", ""1:3"": ""client_014""}"
15,1.3520196676254272,1.3520196676254272,0.0,0.0,0.376953125,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_003"", ""0:2"": ""client_002"", ""0:3"": ""client_001"", ""1:0"": ""client_013"", ""1:1"": ""client_012"", ""1:2"": ""client_010"", ""1:3"": ""client_015""}"
